DATAFLOW,LAST UPDATE,freq,n_book,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,TR,2022,84.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,AT,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,BE,2022,67.6,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,BG,2022,97.3,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,CH,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,CY,2022,87.9,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,CZ,2022,64.8,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,DE,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,DK,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,EA20,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,EE,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,EL,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,ES,2022,62.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,EU27_2020,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,FI,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,FR,2022,53.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,HR,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,HU,2022,81.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,IE,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,IT,2022,76.8,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,LT,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,LU,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,LV,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,ME,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,MT,2022,61.1,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,NL,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,NO,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,PL,2022,78.2,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,PT,2022,82.8,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,RO,2022,99.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,RS,2022,92.0,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,SE,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,SI,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,SK,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-29,PC,TR,2022,82.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,AT,2022,48.4,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,BE,2022,67.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,BG,2022,93.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,CH,2022,20.9,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,CY,2022,85.7,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,CZ,2022,62.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,DE,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,DK,2022,29.4,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,EA20,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,EE,2022,42.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y25-34,PC,EL,2022,78.5,u
