who,TEAGE,category,n,N,p,X,Y,whofct
Boss or Manager,32,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,32,Work,10,3620,0.0027624309392265192,0.02237354085603113,100,Boss or Manager
Boss or Manager,33,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,33,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,33,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,33,Work,21,3824,0.0054916317991631795,0.02237354085603113,100,Boss or Manager
Boss or Manager,34,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,34,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,34,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,34,Work,20,3862,0.005178663904712584,0.02237354085603113,100,Boss or Manager
Boss or Manager,35,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,35,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,35,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,35,Work,18,4416,0.004076086956521739,0.02237354085603113,100,Boss or Manager
Boss or Manager,36,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,36,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,36,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,36,Work,14,4231,0.0033089104230678325,0.02237354085603113,100,Boss or Manager
Boss or Manager,37,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,37,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,37,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,37,Work,12,4099,0.002927543303244694,0.02237354085603113,100,Boss or Manager
Boss or Manager,38,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,38,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,38,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,38,Work,15,4147,0.003617072582589824,0.02237354085603113,100,Boss or Manager
Boss or Manager,39,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,39,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,39,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,39,Work,17,3900,0.004358974358974359,0.02237354085603113,100,Boss or Manager
Boss or Manager,40,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,40,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,40,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,40,Work,12,3812,0.0031479538300104933,0.02237354085603113,100,Boss or Manager
Boss or Manager,41,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,41,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,41,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,41,Work,8,4467,0.0017909111260353706,0.02237354085603113,100,Boss or Manager
Boss or Manager,42,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,42,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,42,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,42,Work,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,43,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
