Year;Non-electoral autocracies;One-party autocracies;Multi-party autocracies without elected executive;Multi-party autocracy;Exclusive democracies;Male democracies;Electoral democracies;Polyarchies;Frec Total;Frec Non-electoral autocracies;Frec One-party autocracies;Frec Multi-party autocracies without elected executive;Frec Multi-party autocracy;Frec Exclusive democracies;Frec Male democracies;Frec Electoral democracies;Frec Polyarchies
2011;15;15;8;38;0;0;43;80;199;0,075;0,075;0,040;0,191;0;0;0,216;0,402
2012;13;17;9;36;0;0;44;80;199;0,065;0,085;0,045;0,181;0;0;0,221;0,402
2013;14;13;7;36;0;0;49;80;199;0,070;0,065;0,035;0,181;0;0;0,246;0,402
2014;14;14;7;36;0;0;48;80;199;0,070;0,070;0,035;0,181;0;0;0,241;0,402
2015;14;12;7;36;0;0;52;78;199;0,070;0,060;0,035;0,181;0;0;0,261;0,392
2016;12;12;7;41;0;0;49;78;199;0,060;0,060;0,035;0,206;0;0;0,246;0,392
2017;12;13;8;39;0;0;51;76;199;0,060;0,065;0,040;0,196;0;0;0,256;0,382
2018;13;14;7;36;0;0;54;75;199;0,065;0,070;0,035;0,181;0;0;0,271;0,377
2019;13;18;8;35;0;0;50;75;199;0,065;0,090;0,040;0,176;0;0;0,251;0,377
2020;14;18;8;36;0;0;49;74;199;0,070;0,090;0,040;0,181;0;0;0,246;0,372
2021;18;17;8;31;0;0;50;75;199;0,090;0,085;0,040;0,156;0;0;0,251;0,377
2022;19;18;8;31;0;0;49;74;199;0,095;0,090;0,040;0,156;0;0;0,246;0,372
